period,year,quarter,gdp_yoy,cpi_yoy,m2_yoy,ip_yoy,export_yoy,short_rate_level,short_rate_chg_q
2020Q4,2020,4,6.5,0.06666666666666667,10.1,7.066666666666666,11.623333333333335,2.183360655737705,0.006987521409346886
2021Q1,2021,1,18.9,-0.033333333333333326,9.4,30.612584000000002,42.84666666666667,2.22925,0.04588934426229496
2021Q2,2021,2,8.1,1.0999999999999999,8.6,8.966666666666667,36.346666666666664,2.175016129032258,-0.054233870967741904
2021Q3,2021,3,5.5,0.8333333333333334,8.3,4.933333333333334,24.563333333333333,2.1806515151515153,0.005635386119257291
2021Q4,2021,4,4.5,1.7666666666666666,9.0,3.8666666666666667,23.19666666666667,2.17091935483871,-0.009732160312805327
2022Q1,2022,1,4.8,1.0999999999999999,9.7,7.217953999999999,12.31,2.1142166666666666,-0.05670268817204338
2022Q2,2022,2,0.8,2.2333333333333334,11.4,0.5666666666666668,6.4799999999999995,1.800532258064516,-0.31368440860215063
2022Q3,2022,3,4.0,2.6666666666666665,12.1,4.766666666666667,4.986666666666667,1.587536923076923,-0.21299533498759304
2022Q4,2022,4,3.0,1.8333333333333333,11.8,2.8333333333333335,-7.596666666666668,1.7807619047619048,0.1932249816849818
2023Q1,2023,1,4.7,1.2666666666666666,12.7,4.293884666666667,-3.5005023333333334,2.019065573770492,0.23830366900858713
2023Q2,2023,2,6.5,0.10000000000000002,11.3,4.5,-5.621702666666667,1.933725806451613,-0.08533976731887893
2023Q3,2023,3,5.0,-0.06666666666666667,10.3,4.233333333333333,-9.315674,1.858828125,-0.07489768145161291
2023Q4,2023,4,5.3,-0.3333333333333333,9.7,6.0,-0.36131866666666673,1.8877333333333333,0.02890520833333321
2024Q1,2024,1,5.3,-2.7755575615628914e-17,8.3,6.033333333333334,1.6033333333333333,1.8541770491803278,-0.03355628415300549
2024Q2,2024,2,4.7,0.26666666666666666,6.2,5.866666666666667,4.296666666666667,1.8630645161290322,0.008887466948704459
2024Q3,2024,3,4.6,0.5,6.8,5.0,4.36,1.791242424242424,-0.07182209188660815
2024Q4,2024,4,5.4,0.19999999999999998,7.3,5.633333333333333,4.803333333333334,1.650741935483871,-0.14050048875855303
