index,h,shock,beta,se,nobs,lo_90,hi_90,lo_95,hi_95,shock_label
HS300,10,d_tone_macro,-0.18521591031546,0.607528139407897,77,-1.18451077389562,0.814078953264698,-1.37594918314957,1.00551736251865,dToneMacro (z)
CSI500,0,d_tone_policy,0.0798542219420326,0.192915880222523,77,-0.23746416333852,0.397172607222585,-0.298253955339955,0.45796239922402,dTonePolicy (z)
CSI500,0,d_tone_macro,0.225327371587864,0.204549429858896,77,-0.111126500006396,0.561781243182125,-0.175582143993774,0.626236887169502,dToneMacro (z)
CSI500,1,d_tone_policy,0.0962075547346401,0.309619881347675,77,-0.413071830076367,0.605486939545648,-0.510636261604367,0.703051371073648,dTonePolicy (z)
CSI500,1,d_tone_macro,0.0109435753366764,0.273692701815533,77,-0.439240857914751,0.461128008588104,-0.525484263053229,0.547371413726581,dToneMacro (z)
CSI500,2,d_tone_policy,0.284542655703619,0.368979411925879,77,-0.322374468273083,0.891459779680322,-0.438643702707872,1.00772901411511,dTonePolicy (z)
CSI500,2,d_tone_macro,-0.0788913821317955,0.347623961877873,77,-0.650681916641855,0.492899152378264,-0.760221827575551,0.60243906331196,dToneMacro (z)
CSI500,3,d_tone_policy,0.408315637940026,0.46509726769701,77,-0.356701289716621,1.17333256559667,-0.503258256054098,1.31988953193415,dTonePolicy (z)
CSI500,3,d_tone_macro,0.148433137164682,0.438837956386624,77,-0.573391067041828,0.870257341371193,-0.71167345240226,1.00853972673162,dToneMacro (z)
CSI500,4,d_tone_policy,0.121353304677233,0.448242316037907,77,-0.615939694610846,0.858646303965312,-0.757185491103885,0.999892100458351,dTonePolicy (z)
CSI500,4,d_tone_macro,-0.00652578752834182,0.466510934719746,77,-0.773867990514638,0.760816415457954,-0.92087041797316,0.907818842916476,dToneMacro (z)
CSI500,5,d_tone_policy,0.297181974825112,0.510117839058551,77,-0.541887202922992,1.13625115257322,-0.702630617601047,1.29699456725127,dTonePolicy (z)
CSI500,5,d_tone_macro,-0.0807304297706635,0.566315495120379,77,-1.01223652591824,0.850775666376911,-1.19068840409358,1.02922754455225,dToneMacro (z)
CSI500,6,d_tone_policy,-0.456156547903408,0.456238335210845,77,-1.20660182832927,0.294288732522452,-1.35036725328318,0.438054157476361,dTonePolicy (z)
CSI500,6,d_tone_macro,-0.060015169535345,0.533875245490329,77,-0.93816180341972,0.81813146434903,-1.10639142293387,0.98636108386318,dToneMacro (z)
