year,quarter,n_sentences,topn_target,tone_all,tone_p90_all,tone_policy,tone_p90_policy,tone_macro,tone_p90_macro,tone_all_z,tone_p90_all_z,tone_policy_z,tone_p90_policy_z,tone_macro_z,tone_p90_macro_z,similarity_prev,surprise_prev,avg_sent_len,avg_sent_len_rows,prev_quarter_available
2015,4,720,80,0.992381,0.998925,0.160913,0.991621,0.142088,0.964104,0.367746,0.586713,-0.689374,0.366069,0.231686,0.738947,0.3130001526209462,0.6869998473790537,19.447098976109213,55.397222222222226,1
2016,1,619,74,0.994973,0.999081,0.312245,0.998384,0.0232,0.036092,0.409712,1.137578,1.556111,0.402396,-1.376722,-1.597988,0.2515256372943351,0.7484743627056649,18.644456886898098,53.794830371567045,1
2016,2,620,74,0.996349,0.999128,0.240539,0.997718,0.114207,0.869381,0.431979,1.300411,0.492121,0.39882,-0.145501,0.500414,0.21751616969193088,0.7824838303080691,19.350671140939596,55.80483870967742,1
2016,3,583,70,0.973442,0.998739,0.19095,0.996465,0.049409,0.018913,0.061137,-0.065545,-0.243682,0.39209,-1.02215,-1.641249,0.17222506229070894,0.8277749377092911,20.141509433962263,58.59348198970841,1
2016,4,656,79,0.979279,0.998876,0.216811,0.998075,0.036749,0.787372,0.155631,0.414698,0.140052,0.400737,-1.193425,0.293899,0.20596333860611177,0.7940366613938883,19.502139037433157,55.59298780487805,1
2017,1,582,70,0.974242,0.998636,0.256512,0.993078,0.097679,0.614901,0.074078,-0.428724,0.72914,0.373893,-0.369105,-0.140422,0.2763909648767822,0.7236090351232178,18.389830508474578,55.92783505154639,1
2017,2,614,74,0.991009,0.998928,0.360228,0.997618,0.044901,0.278092,0.345539,0.597714,2.268081,0.39828,-1.083131,-0.988581,0.2928883183521106,0.7071116816478894,18.94795127353267,55.732899022801305,1
2017,3,679,80,0.981408,0.998745,0.246254,0.993299,0.093962,0.254011,0.190091,-0.045303,0.576922,0.375084,-0.41939,-1.049222,0.2585218398362777,0.7414781601637224,19.096397767630645,55.43298969072165,1
2017,4,703,80,0.973222,0.998763,0.272579,0.997741,0.07069,0.089421,0.057574,0.017895,0.967531,0.39894,-0.734242,-1.463696,0.29408933410382,0.70591066589618,18.546844181459566,53.50355618776671,1
2018,1,606,73,0.957132,0.998883,0.157196,0.962979,0.030984,0.106527,-0.202911,0.438613,-0.744519,0.212218,-1.271415,-1.420619,0.26194005706220413,0.7380599429377959,18.514318442153495,53.34323432343234,1
