event_date,event_date_raw,D_policy,S_policy,S_policy_available,interbank_date_used,D_RRR,D_RateAdj,D_SLF
2022-08-22,2022-08-22,1,0.06869999999999998,1,2022-08-22,0,1,0
2022-09-01,2022-09-01,1,-0.2773000000000001,1,2022-09-01,0,0,1
2022-09-20,2022-09-20,1,0.07050000000000001,1,2022-09-20,0,1,0
2022-09-29,2022-09-29,1,-0.031099999999999905,1,2022-09-29,0,1,0
2022-10-08,2022-10-08,1,-0.3167000000000002,1,2022-10-08,0,0,1
2022-10-20,2022-10-20,1,0.08479999999999999,1,2022-10-20,0,1,0
2022-11-01,2022-11-01,1,-0.11929999999999996,1,2022-11-01,0,0,1
2022-11-21,2022-11-21,1,-0.01309999999999989,1,2022-11-21,0,1,0
2022-11-25,2022-11-25,1,-0.02190000000000003,1,2022-11-25,1,0,0
2022-12-01,2022-12-01,1,-0.20510000000000006,1,2022-12-01,0,0,1
2022-12-20,2022-12-20,1,-0.10850000000000004,1,2022-12-20,0,1,0
2023-01-03,2023-01-03,1,-0.5778000000000003,1,2023-01-03,0,0,1
2023-01-20,2023-01-20,1,-0.6122999999999998,1,2023-01-20,0,1,0
2023-02-01,2023-02-01,1,-0.28649999999999975,1,2023-02-01,0,0,1
2023-02-20,2023-02-20,1,-0.04260000000000019,1,2023-02-20,0,1,0
2023-03-01,2023-03-01,1,-0.4998999999999998,1,2023-03-01,0,0,1
2023-03-17,2023-03-17,1,-0.17690000000000028,1,2023-03-17,1,0,0
2023-03-20,2023-03-20,1,0.19840000000000035,1,2023-03-20,0,1,0
2023-04-03,2023-04-03,1,-0.5251999999999999,1,2023-04-03,0,0,1
2023-04-20,2023-04-20,1,0.13140000000000018,1,2023-04-20,0,1,0
2023-05-04,2023-05-04,1,-0.4304000000000001,1,2023-05-04,0,0,1
2023-05-22,2023-05-22,1,0.11289999999999978,1,2023-05-22,0,1,0
2023-06-01,2023-06-01,1,-0.25639999999999974,1,2023-06-01,0,0,1
2023-06-20,2023-06-20,1,-0.021500000000000075,1,2023-06-20,0,1,0
2023-07-03,2023-07-03,1,-0.46579999999999977,1,2023-07-03,0,0,1
2023-07-20,2023-07-20,1,-0.04830000000000023,1,2023-07-20,0,1,0
2023-08-01,2023-08-01,1,-0.032299999999999995,1,2023-08-01,0,0,1
2023-08-21,2023-08-21,1,-0.11609999999999987,1,2023-08-21,0,1,0
2023-09-01,2023-09-01,1,-0.6214000000000002,1,2023-09-01,0,0,1
2023-09-14,2023-09-14,1,0.08349999999999991,1,2023-09-14,1,0,0
2023-09-20,2023-09-20,1,0.19689999999999985,1,2023-09-20,0,1,0
2023-10-07,2023-10-07,1,-0.7373000000000001,1,2023-10-07,0,0,1
2023-10-20,2023-10-20,1,-0.1097999999999999,1,2023-10-20,0,1,0
2023-11-01,2023-11-01,1,-0.1955,1,2023-11-01,0,0,1
2023-11-20,2023-11-20,1,-0.02169999999999961,1,2023-11-20,0,1,0
2023-12-01,2023-12-01,1,-0.7795999999999998,1,2023-12-01,0,0,1
2023-12-20,2023-12-20,1,0.1735000000000002,1,2023-12-20,0,1,0
2024-01-02,2024-01-02,1,-0.2769999999999999,1,2024-01-02,0,0,1
2024-01-19,2024-01-19,1,-0.2515999999999998,1,2024-01-19,0,1,0
2024-01-22,2024-01-22,1,0.09260000000000002,1,2024-01-22,0,1,0
2024-01-24,2024-01-24,1,0.18290000000000006,1,2024-01-24,1,0,0
2024-02-01,2024-02-01,1,0.05390000000000006,1,2024-02-01,0,0,1
2024-02-20,2024-02-20,1,-0.07299999999999995,1,2024-02-20,0,1,0
2024-03-01,2024-03-01,1,-0.35970000000000013,1,2024-03-01,0,0,1
2024-03-20,2024-03-20,1,0.09310000000000018,1,2024-03-20,0,1,0
2024-04-01,2024-04-01,1,-0.009599999999999831,1,2024-04-01,0,0,1
2024-04-22,2024-04-22,1,0.11969999999999992,1,2024-04-22,0,1,0
2024-05-06,2024-05-06,1,-0.13249999999999984,1,2024-05-06,0,0,1
2024-05-20,2024-05-20,1,0.16899999999999982,1,2024-05-20,0,1,0
2024-06-03,2024-06-03,1,0.15379999999999994,1,2024-06-03,0,0,1
2024-06-20,2024-06-20,1,0.0795999999999999,1,2024-06-20,0,1,0
2024-07-01,2024-07-01,1,-0.07979999999999987,1,2024-07-01,0,0,1
2024-07-22,2024-07-22,1,-0.02839999999999998,1,2024-07-22,0,1,0
2024-08-01,2024-08-01,1,0.06129999999999991,1,2024-08-01,0,0,1
2024-08-20,2024-08-20,1,0.05249999999999999,1,2024-08-20,0,1,0
2024-09-02,2024-09-02,1,0.17100000000000004,1,2024-09-02,0,0,1
2024-09-20,2024-09-20,1,0.0002999999999997449,1,2024-09-20,0,1,0
2024-09-27,2024-09-27,1,-0.07760000000000011,1,2024-09-27,1,0,0
