date,SH,SZ,HS300,CSI500,usdcny_mid,usdcny_chg,fx_ret,shibor_1w,ib_7d,short_rate,short_rate_chg,ib_minus_shibor,S_gdp,D_gdp,GDPForecastAvailEvent,S_policy,D_policy,D_report,ToneAllEvent_raw,ToneAllEvent_z,ReadabilityEvent,SimilarityEvent,PolicySurpriseEvent
2021-10-20,-0.1713056552847381,-0.3282675452199007,-0.2550622257610412,-0.0221922892537994,6.4069,-0.0237999999999996,-0.0037078624146792,2.221,2.2238,2.221,-0.0619999999999998,0.0028000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-21,0.2166594644604135,-0.0511469843254383,0.3626683652268934,-0.2890897100572928,6.389,-0.0179,-0.0027977729860455,2.055,2.2276,2.055,-0.1659999999999999,0.1725999999999996,0.0,0,0,-0.1244,1,0,0.0,0.0,0.0,0.0,0.0
2021-10-22,-0.3393999395884927,0.3314712438083564,0.6414019106758536,-1.0220758004524049,6.4032,0.0141999999999997,0.0022201037870708,2.056,2.2107,2.056,0.0009999999999998,0.1547,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.7580196630481307,0.7143491566370587,0.398219707770767,1.1029081242623953,6.3924,-0.0107999999999996,-0.0016880806784604,2.243,2.1773,2.243,0.1869999999999998,-0.0657,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-26,-0.3390915493335564,-0.3012056669859604,-0.3302955343329791,-0.0219619018200142,6.389,-0.0034,-0.0005320231086105,2.262,2.2531,2.262,0.0190000000000001,-0.0089000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-27,-0.9868864096847494,-1.1007378726657246,-1.317092111479062,-0.760796346905539,6.3856,-0.0034,-0.0005323063078738,2.268,2.2966,2.268,0.0059999999999997,0.0286000000000004,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-28,-1.2397185634958294,-1.0384078686842708,-0.6969697246504387,-1.4047069009010391,6.3957,0.0100999999999995,0.0015804342441365,2.301,2.3406,2.301,0.0330000000000003,0.0395999999999996,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-29,0.8186001646085042,1.4396579871144477,0.9133474114414476,1.033733346130726,6.3907,-0.0049999999999998,-0.0007820810008844,2.299,2.3986,2.299,-0.0020000000000002,0.0996000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-01,-0.0806563098061297,0.1738805626582606,-0.3690003431813255,0.5433414440393198,6.4192,0.0285000000000001,0.0044496907898401,2.168,2.4579,2.168,-0.1309999999999997,0.2898999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-02,-1.102121619358686,-0.6880230095187423,-1.0449669314235055,-1.0773385437939211,6.4009,-0.0182999999999999,-0.0028548938665668,2.185,2.3878,2.185,0.0169999999999999,0.2027999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-03,-0.202450894870084,-0.066028762133213,-0.387953650658591,0.4677594323173574,6.4079,0.0069999999999996,0.0010929986722997,2.137,2.3363,2.137,-0.048,0.1993,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-04,0.8065053444693789,1.296492771327173,0.983098471337252,0.7947982826065656,6.3943,-0.0135999999999993,-0.002124635627619,2.132,2.2836,2.132,-0.0049999999999998,0.1515999999999997,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-05,-1.0059300261978694,-0.6385737545850454,-0.543503663595375,-1.1651119731110475,6.398,0.0036999999999993,0.0005784730037878,2.129,2.2326,2.129,-0.0030000000000001,0.1036000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.2019971503123658,0.3192107497699691,0.1203236707048886,0.5001836536913716,6.3959,-0.0020999999999995,-0.000328281449575,2.121,2.1871,2.121,-0.008,0.0661,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-09,0.2389507862261747,0.4337578097863522,-0.0297062793832225,0.7765449350370879,6.3903,-0.0056000000000002,-0.0008759444335398,2.191,2.1849,2.191,0.0699999999999998,-0.0060999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-10,-0.4154612188463896,-0.385385282508708,-0.5285528439303767,-0.2746026917736077,6.3948,0.0045000000000001,0.0007039444643884,2.142,2.2039,2.142,-0.0489999999999999,0.0619,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-11,1.1481568071059145,1.2586583976937151,1.5938871395095515,0.8113036922825362,6.4145,0.0197000000000002,0.0030758925986581,2.113,2.2074,2.113,-0.0289999999999999,0.0943999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-12,0.1784530493133228,0.0382926645661067,-0.2100742367047615,0.514834285686265,6.4065,-0.008,-0.0012479527397639,2.124,2.2074,2.124,0.0110000000000001,0.0833999999999997,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-15,-0.164017909062179,-0.4701839772397336,-0.1226108691844159,-0.8193765580610657,6.3896,-0.0169000000000005,-0.0026414313464517,2.1,2.2017,2.1,-0.024,0.1017000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-16,-0.3262895359734016,-0.1532972885844447,0.0192510522113758,-0.7391075172451205,6.3924,0.0028000000000005,0.0004381161077747,2.096,2.1978,2.096,-0.004,0.1017999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-17,0.4414130094069242,0.6629828394318806,0.0497488512236662,0.8281044349827392,6.3935,0.0011000000000001,0.0001720645402691,2.182,2.1826,2.182,0.0859999999999998,0.0005999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-18,-0.4720839361649452,-0.9013951272756512,-0.9899940678267276,-0.2797902483540921,6.3803,-0.0132000000000003,-0.0020667310743106,2.172,2.1988,2.172,-0.0099999999999997,0.0267999999999997,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-19,1.1201798231758402,1.1818084435321488,1.0781709100374235,1.1954211790494818,6.3825,0.0022000000000002,0.0003447519387265,2.171,2.2125,2.171,-0.0010000000000003,0.0415,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-22,0.6079165233211115,1.401220712248977,0.4558047403935854,1.1811616738067432,6.3952,0.0126999999999997,0.00198783884142,2.109,2.2223,2.109,-0.0619999999999998,0.1133000000000001,0.0,0,0,0.0,0,1,0.6271586096833798,0.6650722590682769,19.302570863546475,0.4722115453356962,0.5277884546643038
2021-11-23,0.1955051193268686,-0.3718640222835223,0.0193369463493514,0.086935861004829,6.3929,-0.0022999999999999,-0.0003597094212275,2.17,2.2279,2.17,0.0609999999999999,0.0579,0.0,0,0,0.0928999999999997,1,0,0.0,0.0,0.0,0.0,0.0
2021-11-24,0.1005320485294798,-0.1176797294040258,0.0673447967011057,-0.0726020852294438,6.3903,-0.0026000000000001,-0.0004067839094831,2.269,2.2596,2.269,0.0990000000000002,-0.0094000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-25,-0.237429189354025,-0.4014738419479925,-0.4121027731527677,-0.3115329666901338,6.398,0.0076999999999998,0.0012042258831149,2.231,2.3171,2.231,-0.0380000000000002,0.0861,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-26,-0.5620955250850551,-0.3430491063666185,-0.7443223927220215,-0.189298076370245,6.3936,-0.0043999999999995,-0.0006879514952835,2.247,2.371,2.247,0.016,0.1240000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-29,-0.039007744514021,0.2232710357236914,-0.1793740924028303,0.02825140444889,6.3872,-0.0064000000000001,-0.0010015023370895,2.239,2.4099,2.239,-0.008,0.1709,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-11-30,0.0333960564887394,-0.0977506948925365,-0.4004776379308226,0.4264009898327852,6.3794,-0.0077999999999995,-0.0012219386478054,2.297,2.4679,2.297,0.0580000000000002,0.1709,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.3641062842466487,-0.0100033862897778,0.2443189845190082,0.276477567755314,6.3693,-0.0101000000000004,-0.0015844756113262,2.121,2.5694,2.121,-0.1760000000000001,0.4483999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-12-02,-0.0853059809266943,-0.1941149757647908,0.2538143075850791,-0.5909208711535066,6.3719,0.0026000000000001,0.0004081248290724,2.1,2.5028,2.1,-0.0209999999999999,0.4028,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-12-03,0.9354959490302042,0.8530071504241017,0.919534457536796,0.9899674227084112,6.3738,0.0019,0.0002981397669918,2.078,2.4264,2.078,-0.0220000000000002,0.3484000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-12-06,-0.5035623988034111,-0.9383772893419632,-0.1715399393855005,-0.8452586980029644,6.3702,-0.0036000000000004,-0.0005649717664404,2.129,2.3586,2.129,0.0510000000000001,0.2296,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-12-07,0.1609042159969687,-0.3788782374690737,0.6007321381743649,-0.4655552804968292,6.3738,0.0036000000000004,0.0005649717664405,2.159,2.2915,2.159,0.0299999999999998,0.1325000000000002,0.0,0,0,0.0750000000000001,1,0,0.0,0.0,0.0,0.0,0.0
2021-12-08,1.1746850668542006,1.8023098213043296,1.4888312249396816,1.3254665850809118,6.3677,-0.0060999999999999,-0.0009575011523045,2.202,2.206,2.202,0.0430000000000001,0.004,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
