year,quarter,tone_all,tone_real,tone_guid,tone_macro,tone_policy,tone_risk,tone_p90_macro,tone_p90_policy,tone_p90_risk,tone_std_macro,tone_std_policy,tone_std_risk,n_macro,n_policy,n_risk,tone_all_z,tone_real_z,tone_guid_z,tone_policy_z,tone_macro_z,tone_risk_z,tone_p90_policy_z,tone_p90_macro_z,tone_p90_risk_z,tone_std_policy_z,tone_std_macro_z,tone_std_risk_z,tone_all_z_exp,tone_all_z_exp_avail,tone_real_z_exp,tone_real_z_exp_avail,tone_guid_z_exp,tone_guid_z_exp_avail,tone_policy_z_exp,tone_policy_z_exp_avail,tone_macro_z_exp,tone_macro_z_exp_avail,tone_risk_z_exp,tone_risk_z_exp_avail,report_date
2013,3,0.561915029258323,0.552963044201671,0.6314245602864449,0.5447877251489771,0.6200300646996331,0.2500880431753103,0.999934740117169,0.9999428079878271,0.9998609839916753,0.48101050261781,0.4715765818755735,0.46277362210883544,421,167,8,-0.5799559044014383,-0.5550372618453142,-0.39309870626255267,-0.5108257867867083,-0.45448178248409465,0.27216324269276176,0.49991881745940075,0.2915473348240042,1.1177890772030936,0.5526295607696399,0.23437185531125132,0.7234594647323681,-0.2636339445666571,1,-0.2343497535378986,1,-0.27807467839300376,1,-0.4095462781589323,1,-0.2539764445828879,1,0.5910255022618645,1,2013-11-05
2013,4,0.6390908505493955,0.6279774288231716,0.7315983468902167,0.5967805029767529,0.7440208594431985,0.12367953319783108,0.9999341013055527,0.9999446365211042,0.482346093654633,0.47642793174338677,0.4265702558480235,0.3113165964407914,417,232,13,0.892772453243832,0.8201345529503704,0.793074937946916,1.228429639196109,0.35999876012916815,-0.3301391872958121,0.6401255668671371,0.18404768566321306,-0.05348742621386491,-1.2899896410250482,-0.1682149648715176,-0.01636520527489668,1.1092821937943178,1,1.0266386827752052,1,0.7744229779077622,1,1.0638956829479194,1,0.43711279373594464,1,-0.3498540185748307,1,2014-02-08
2014,1,0.6086329241299231,0.5989840637753133,0.6564220909805851,0.5625840600152436,0.7047819711530876,0.10228512116840908,0.9999211024623946,0.99993948908741,0.2861921906471255,0.4828849481357331,0.44399009624822916,0.2702361597237942,397,227,7,0.3115508840705995,0.2886250480591007,-0.09709899331379704,0.6780141869098761,-0.1756975150533855,-0.43207778585846723,0.24543493964137664,-2.0034063984474724,-0.49743688918795026,-0.5767980689342849,0.3990451536290885,-0.21703150255528258,0.5460895741794439,1,0.5202702189673177,1,-0.028265393005346785,1,0.5779841861860422,1,-0.024308233289728358,1,-0.5054375049347586,1,2014-05-06
2014,2,0.6366629737253182,0.6231991987795023,0.7182376101617325,0.6124473291946007,0.7000043003608291,0.33433850464098214,0.9999303028511349,0.9999416226237372,0.999925132300632,0.47561471842053266,0.4499598657271298,0.5155658547261721,409,185,6,0.8464418410407846,0.7325395228262314,0.6348683420713366,0.6109963904179593,0.605423714364321,0.6735939507793722,0.4090284585108888,-0.45515878282272193,1.1179342622178974,-0.33238771947859486,-0.23965716942210352,0.9813345676059122,1.039524137838579,1,0.9231456581464351,1,0.6286583526740335,1,0.5138753875466548,1,0.648008513316744,1,1.241047653744156,1,2014-08-01
2014,3,0.543269936051392,0.5291015885588501,0.6473600622965993,0.5170669429095511,0.6320013035034958,0.137101196805036,0.9999320854549296,0.9999380810491857,0.6365407288074503,0.48788343462147865,0.47038628197569315,0.3461209247325376,423,189,14,-0.9357559080479563,-0.9924680482947652,-0.2044039076276732,-0.34290169138578863,-0.8887351288781018,-0.26618858296902315,0.1374705591472814,-0.1551810152924532,0.29549683777479635,0.5038970903593416,0.8381708835232535,0.1536440800632508,-0.6454891979352346,1,-0.6845287059573693,1,-0.13670106735461898,1,-0.3077548109518877,1,-0.6532253808623024,1,-0.26009836954168136,1,2014-11-06
2014,4,0.5622758139903851,0.552934091898287,0.6289523554227344,0.5267242893137534,0.6313164478467679,0.1250766160846979,0.99992746841599,0.9999418904255435,0.3000775677588533,0.4904587271635999,0.47148982267415956,0.3533494736962499,391,252,8,-0.5730711327589154,-0.5555680186033403,-0.42237247489844254,-0.35250836355401344,-0.7374502568608035,-0.32348246443905787,0.42956274203452827,-0.9321394386021863,-0.466010516235747,0.5490775229881105,1.064414811655295,0.18895349425596714,-0.29650864221193207,1,-0.2702294065017632,1,-0.33394738865271456,1,-0.31301380921805866,1,-0.5132210634745118,1,-0.3481523685280478,1,2015-02-10
2015,1,0.5601248200214928,0.5498971347323969,0.6509342681943743,0.5249535207668644,0.6538355190661584,0.00011694431304920538,0.9999250022534397,0.99994411016487,0.00011694431304920538,0.4844674684816332,0.4638795093443033,,469,182,1,-0.614118053441029,-0.611241845941209,-0.16208117052591792,-0.03662671373136729,-0.7651898119907494,-0.9188815714457574,0.5997660625803029,-1.3471469340458875,-1.1449027312279707,0.23750111338108462,0.5380723179412239,0.0,-0.3325509507849733,1,-0.31975298902371063,1,-0.0916928027983323,1,-0.035308400960824535,1,-0.5317836013352017,1,-1.2932961594405818,1,2015-05-08
2015,2,0.6016010572468257,0.595873268433629,0.6322856401746656,0.5869865891950324,0.6289442555372777,,0.999936515770969,0.9999421433974931,,0.47926020690456195,0.4694636168391284,,406,217,0,0.17736339383494715,0.231597611293914,-0.3829025231731957,-0.3857838043178897,0.20657452421573885,0.0,0.44895991417784176,0.5903555525654042,0.0,0.46612194522929884,0.08060533322450962,0.0,0.42653892863135423,1,0.47815516973594324,1,-0.2954528321144821,1,-0.341354482914101,1,0.33080088616261416,1,0.0,1,2015-08-07
2015,3,0.5644118420622025,0.5450947622016484,0.7149792179615896,0.5123087821611675,0.6562168356508895,0.00017261505126964227,0.9999318353409763,0.9999424248435389,0.00017261505126964227,0.4887757633715015,0.4637005779127241,,405,236,1,-0.5323098028311468,-0.6992794587504917,0.596285204891997,-0.0032232840691720686,-0.9632729687492827,-0.918616315404725,0.470540399318159,-0.19727035986279273,-1.144776733254148,0.23017542117882533,0.9165635159284403,0.0,-0.26045627428428303,1,-0.4107696433181379,1,0.6217283450959981,1,0.00019274361852496336,1,-0.7117731151374254,1,-1.2629511131385165,1,2015-11-06
2015,4,0.5460450237276998,0.5386197065951067,0.5931730569570149,0.5201559368546449,0.587416529036286,0.9999385964110843,0.9999263141216943,0.9999368224162026,0.9999385964110843,0.481986735266275,0.4802814273981338,,449,270,1,-0.882799551413456,-0.8179808786752081,-0.8460408045804385,-0.9683054648569555,-0.8403452260946235,3.84499872997638,0.040962149122941924,-1.1263848603441033,1.1179647351501873,0.909017582726989,0.32013559109932144,0.0,-0.598038229535623,1,-0.5202744923734669,1,-0.7397335724415055,1,-0.8606847127876662,1,-0.5930559456065658,1,6.2738343195820425,1,2016-02-06
